Campaign,Campaign status,Campaign type,Budget,Budget type,Bid strategy type,Networks,Languages,Locations,Ad group,Ad group status,Max CPC,Keyword,Match type,Status,Final URL
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Respostas WhatsApp","Paused","2.50","respostas whatsapp estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_respostas&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Respostas WhatsApp","Paused","2.50","resposta para cliente estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_respostas&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Respostas WhatsApp","Paused","2.50","mensagem para cliente estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_respostas&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Respostas WhatsApp","Paused","2.50","script whatsapp estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_respostas&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Respostas WhatsApp","Paused","2.50","como responder cliente no whatsapp","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_respostas&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Respostas WhatsApp","Paused","2.50","respostas whatsapp estetica","Exact","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_respostas&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Respostas WhatsApp","Paused","2.50","script whatsapp estetica","Exact","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_respostas&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Objecoes E Preco","Paused","2.50","cliente achou caro estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_objecoes&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Objecoes E Preco","Paused","2.50","como responder cliente achou caro","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_objecoes&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Objecoes E Preco","Paused","2.50","responder preco estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_objecoes&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Objecoes E Preco","Paused","2.50","cliente pediu desconto estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_objecoes&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Objecoes E Preco","Paused","2.50","objecoes estetica whatsapp","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_objecoes&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Objecoes E Preco","Paused","2.50","cliente achou caro estetica","Exact","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_objecoes&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Automacao E IA","Paused","2.50","ia para clinica de estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_ia&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Automacao E IA","Paused","2.50","automacao whatsapp estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_ia&utm_term={keyword}"
"BR | Search | LeadBellus | WhatsApp Estetica","Paused","Search","50","Daily","Maximize conversions","Google Search","Portuguese","Brazil","Automacao E IA","Paused","2.50","ferramenta whatsapp estetica","Phrase","Enabled","https://leadbellus.com.br/campanha/whatsapp-estetica?utm_source=google&utm_medium=cpc&utm_campaign=br_search_whatsapp_estetica&utm_content=kw_ia&utm_term={keyword}"
